product_id,product_name,reviewText,sentiment,rating,reviewDate
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"recommended sekali",positive,5,2024-06-29 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"akan beli lagi",positive,4,2024-06-29 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"rasa autentik",positive,5,2024-06-29 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk lumayan",positive,3,2024-06-28 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk oke",positive,3,2024-06-28 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"biasa saja",neutral,3,2024-06-27 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk oke",positive,3,2024-06-27 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk original dan fresh",positive,5,2024-06-27 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"rasanya enak sekali",positive,4,2024-06-27 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"masih oke untuk harga segini",positive,3,2024-06-27 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"sangat puas dengan produk ini",positive,5,2024-06-27 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"rasa autentik",positive,4,2024-06-26 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk oke",positive,3,2024-06-26 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"kemasan rapi",positive,4,2024-06-26 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"sangat puas dengan produk ini",positive,5,2024-06-26 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"harga sesuai kualitas",positive,4,2024-06-26 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"pengiriman standar",positive,3,2024-06-26 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"cukup bagus",positive,3,2024-06-25 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk sangat bagus",positive,4,2024-06-25 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"kualitas mantap",positive,4,2024-06-25 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"harga sesuai kualitas",positive,4,2024-06-25 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"rasa autentik",positive,5,2024-06-24 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"kemasan rapi",positive,5,2024-06-24 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"pengiriman cepat dan aman",positive,5,2024-06-24 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"biasa saja",neutral,3,2024-06-24 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk oke",positive,3,2024-06-22 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk original dan fresh",positive,5,2024-06-22 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk tidak sesuai foto",positive,1,2024-06-22 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"sangat puas dengan produk ini",positive,4,2024-06-21 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"kualitas mantap",positive,5,2024-06-21 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk sangat bagus",positive,5,2024-06-21 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"pengiriman cepat dan aman",positive,5,2024-06-20 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"pengiriman cepat dan aman",positive,5,2024-06-19 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"kemasan rapi",positive,5,2024-06-19 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"aromanya sangat harum",negative,5,2024-06-19 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"sangat puas dengan produk ini",positive,5,2024-06-18 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"akan beli lagi",positive,4,2024-06-18 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk oke",positive,3,2024-06-17 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"akan beli lagi",positive,5,2024-06-17 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"sangat puas dengan produk ini",positive,5,2024-06-16 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"rasa autentik",positive,5,2024-06-16 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"barang datang terlambat",negative,1,2024-06-14 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"kemasan rapi",positive,5,2024-06-14 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"rasanya kurang enak",negative,1,2024-06-13 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"sesuai deskripsi",positive,3,2024-06-13 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"akan beli lagi",positive,4,2024-06-13 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk lumayan",positive,3,2024-06-12 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"produk sangat bagus",positive,4,2024-06-11 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"cukup bagus",positive,3,2024-06-11 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"harga sesuai kualitas",positive,4,2024-06-11 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"akan beli lagi",positive,4,2024-06-11 00:00:00
dc918575-2a74-4849-ba80-35f0bf1c9393,Bubuk Jahe,"pengiriman cepat dan aman",positive,5,2024-06-11 00:00:00
